Group_1,Group_2,t_statistic,p_raw,p_adjusted_Bonferroni,Significance
Control,Stage I,-53.5949,1.292688e-295,1.292688e-294,***
Control,Stage II,-69.9235,0.000000e+00,0.000000e+00,***
Control,Stage III,-59.925,0.000000e+00,0.000000e+00,***
Control,Stage IV,-16.202,2.300377e-23,2.300377e-22,***
Stage I,Stage II,2.0956,3.636592e-02,3.636592e-01,ns
Stage I,Stage III,-0.8488,3.961727e-01,1.000000e+00,ns
Stage I,Stage IV,-0.089,9.293968e-01,1.000000e+00,ns
Stage II,Stage III,-3.3605,7.976599e-04,7.976599e-03,**
Stage II,Stage IV,-0.72,4.743873e-01,1.000000e+00,ns
Stage III,Stage IV,0.1958,8.453859e-01,1.000000e+00,ns
