Group_1,Group_2,U_statistic,p_raw,p_adjusted_Bonferroni,Significance
Normal,Basal,140035.0,7.205694e-146,7.205694e-145,***
Normal,Her2,20065.0,7.154259e-116,7.154259e-115,***
Normal,LumA,96445.5,0.000000e+00,0.000000e+00,***
Normal,LumB,60463.5,1.213697e-234,1.213697e-233,***
Basal,Her2,27136.5,1.079601e-45,1.079601e-44,***
Basal,LumA,148707.5,7.830517e-142,7.830517e-141,***
Basal,LumB,82411.5,8.990980e-62,8.990980e-61,***
Her2,LumA,212619.5,7.138671e-01,1.000000e+00,ns
Her2,LumB,89000.0,3.940818e-04,3.940818e-03,**
LumA,LumB,629715.5,3.392503e-11,3.392503e-10,***
